uid,year,state,cigsale,lnincome,beer,age15to24,retprice,time,california,cal_trend,tax_dummy,tax_trend,cal_tax_dummy,cal_tax_trend
116,1992,Colorado,88.300003,10.06634,23.700001,,157.5,22,0,0,1,3,0,0
117,1993,Colorado,88.599998,10.07967,23.5,,168.2,23,0,0,1,4,0,0
118,1994,Colorado,89.099998,10.09746,23.1,,153.2,24,0,0,1,5,0,0
119,1995,Colorado,85.400002,10.16635,24.4,,164.2,25,0,0,1,6,0,0
120,1996,Colorado,83.099998,10.19144,24.799999,,169.60001,26,0,0,1,7,0,0
121,1997,Colorado,81.300003,10.2039,24,,174.39999,27,0,0,1,8,0,0
122,1998,Colorado,81.199997,,,,185.8,28,0,0,1,9,0,0
123,1999,Colorado,79.599998,,,,204.2,29,0,0,1,10,0,0
124,2000,Colorado,73,,,,281.29999,30,0,0,1,11,0,0
125,1970,Connecticut,120,,,0.1629288,42.200001,0,0,0,0,0,0,0
126,1971,Connecticut,117.6,,,0.1646539,45.5,1,0,0,0,0,0,0
127,1972,Connecticut,110.8,9.9811373,,0.166379,51.299999,2,0,0,0,0,0,0
128,1973,Connecticut,109.3,10.01299,,0.1681042,50.599998,3,0,0,0,0,0,0
129,1974,Connecticut,112.4,9.9885349,,0.16982929,52.5,4,0,0,0,0,0,0
130,1975,Connecticut,110.2,9.9607487,,0.17155451,54.5,5,0,0,0,0,0,0
131,1976,Connecticut,113.4,9.993227,,0.1732796,57.599998,6,0,0,0,0,0,0
132,1977,Connecticut,117.3,10.02807,,0.1750048,58.400002,7,0,0,0,0,0,0
133,1978,Connecticut,117.5,10.0632,,0.1767299,61.700001,8,0,0,0,0,0,0
134,1979,Connecticut,117.4,10.07551,,0.178455,64.400002,9,0,0,0,0,0,0
135,1980,Connecticut,118,10.07476,,0.18018021,67,10,0,0,0,0,0,0
136,1981,Connecticut,116.4,10.07957,,0.1760501,80.099998,11,0,0,0,0,0,0
137,1982,Connecticut,114.7,10.09016,,0.1719199,85.599998,12,0,0,0,0,0,0
138,1983,Connecticut,114.1,10.12007,,0.1677898,95.599998,13,0,0,0,0,0,0
139,1984,Connecticut,112.5,10.1816,20.299999,0.16365971,113.5,14,0,0,0,0,0,0
140,1985,Connecticut,111,10.21292,20.799999,0.1595296,118.6,15,0,0,0,0,0,0
141,1986,Connecticut,108.5,10.26861,20.6,0.1553994,118.5,16,0,0,0,0,0,0
142,1987,Connecticut,109,10.30923,21.1,0.1512693,122.7,17,0,0,0,0,0,0
143,1988,Connecticut,104.8,10.3554,20.700001,0.14713921,129.7,18,0,0,0,0,0,0
144,1989,Connecticut,100.6,10.36652,19.799999,0.1430091,142,19,0,0,1,0,0,0
145,1990,Connecticut,91.5,10.3493,19.799999,0.138879,171.2,20,0,0,1,1,0,0
146,1991,Connecticut,86.699997,10.32414,18.700001,,175.60001,21,0,0,1,2,0,0
147,1992,Connecticut,83.5,10.34384,18.299999,,193.5,22,0,0,1,3,0,0
148,1993,Connecticut,79.099998,10.34354,17.9,,202.3,23,0,0,1,4,0,0
149,1994,Connecticut,76.599998,10.3613,17.9,,205.60001,24,0,0,1,5,0,0
150,1995,Connecticut,79.300003,10.451,17.6,,205.39999,25,0,0,1,6,0,0
151,1996,Connecticut,76,10.47449,17.200001,,206.3,26,0,0,1,7,0,0
152,1997,Connecticut,75.900002,10.48662,17.5,,208.5,27,0,0,1,8,0,0
153,1998,Connecticut,75.5,,,,217.89999,28,0,0,1,9,0,0
154,1999,Connecticut,73.400002,,,,236.5,29,0,0,1,10,0,0
155,2000,Connecticut,71.400002,,,,312.29999,30,0,0,1,11,0,0
156,1970,Delaware,155,,,0.1733577,39,0,0,0,0,0,0,0
157,1971,Delaware,161.10001,,,0.1758872,41.299999,1,0,0,0,0,0,0
158,1972,Delaware,156.3,9.9099302,,0.1784168,44.700001,2,0,0,0,0,0,0
159,1973,Delaware,154.7,9.9481773,,0.18094631,44,3,0,0,0,0,0,0
160,1974,Delaware,151.3,9.9182577,,0.1834759,44.200001,4,0,0,0,0,0,0
161,1975,Delaware,147.60001,9.8875313,,0.1860054,45.900002,5,0,0,0,0,0,0
162,1976,Delaware,153,9.9206848,,0.188535,50.099998,6,0,0,0,0,0,0
163,1977,Delaware,153.3,9.9337788,,0.19106451,51.700001,7,0,0,0,0,0,0
164,1978,Delaware,155.5,9.9441271,,0.1935941,58.700001,8,0,0,0,0,0,0
165,1979,Delaware,150.2,9.9261036,,0.1961236,60,9,0,0,0,0,0,0
166,1980,Delaware,150.5,9.913744,,0.19865321,62.700001,10,0,0,0,0,0,0
167,1981,Delaware,152.60001,9.9013929,,0.193546,66,11,0,0,0,0,0,0
168,1982,Delaware,154.10001,9.9043369,,0.1884388,74.099998,12,0,0,0,0,0,0
169,1983,Delaware,149.60001,9.934576,,0.1833317,82,13,0,0,0,0,0,0
170,1984,Delaware,144,9.9622822,26.6,0.1782245,91.099998,14,0,0,0,0,0,0
171,1985,Delaware,144.5,9.9963341,26.200001,0.17311729,98.699997,15,0,0,0,0,0,0
172,1986,Delaware,142.39999,10.03209,26,0.1680101,105.2,16,0,0,0,0,0,0
173,1987,Delaware,141,10.04857,25.9,0.162903,111.4,17,0,0,0,0,0,0
174,1988,Delaware,137.10001,10.07772,25.700001,0.1577958,119.3,18,0,0,0,0,0,0
175,1989,Delaware,131.7,10.10361,24.9,0.15268859,124,19,0,0,1,0,0,0
176,1990,Delaware,127.2,10.0948,25.799999,0.1475815,140,20,0,0,1,1,0,0
177,1991,Delaware,118.8,10.08306,24.9,,143.2,21,0,0,1,2,0,0
178,1992,Delaware,120,10.09146,25.200001,,174.7,22,0,0,1,3,0,0
179,1993,Delaware,123.8,10.09208,26.200001,,187.89999,23,0,0,1,4,0,0
180,1994,Delaware,126.1,10.13125,25.9,,152.5,24,0,0,1,5,0,0
181,1995,Delaware,127.2,10.22965,24.6,,160.7,25,0,0,1,6,0,0
182,1996,Delaware,128.3,10.26239,24.6,,169.10001,26,0,0,1,7,0,0
183,1997,Delaware,124.1,10.26168,24.9,,171.89999,27,0,0,1,8,0,0
184,1998,Delaware,132.8,,,,179.2,28,0,0,1,9,0,0
185,1999,Delaware,139.5,,,,198.3,29,0,0,1,10,0,0
186,2000,Delaware,140.7,,,,276.20001,30,0,0,1,11,0,0
187,1970,Georgia,109.9,,,0.18744551,34.299999,0,0,0,0,0,0,0
188,1971,Georgia,115.7,,,0.1878663,35.799999,1,0,0,0,0,0,0
189,1972,Georgia,117,9.6388903,,0.188287,40.900002,2,0,0,0,0,0,0
190,1973,Georgia,119.8,9.684865,,0.18870769,42.400002,3,0,0,0,0,0,0
191,1974,Georgia,123.7,9.6599808,,0.1891285,42.400002,4,0,0,0,0,0,0
192,1975,Georgia,122.9,9.6296091,,0.18954919,44.5,5,0,0,0,0,0,0
193,1976,Georgia,125.9,9.6714296,,0.18997,47.900002,6,0,0,0,0,0,0
194,1977,Georgia,127.9,9.6933374,,0.19039071,49.5,7,0,0,0,0,0,0
195,1978,Georgia,130.60001,9.7366514,,0.1908115,54.700001,8,0,0,0,0,0,0
196,1979,Georgia,131,9.7293024,,0.1912322,56.599998,9,0,0,0,0,0,0
197,1980,Georgia,134,9.7014446,,0.19165289,59.299999,10,0,0,0,0,0,0
198,1981,Georgia,131.7,9.7049437,,0.1879757,62.599998,11,0,0,0,0,0,0
199,1982,Georgia,131.2,9.7073441,,0.1842985,67.800003,12,0,0,0,0,0,0
200,1983,Georgia,128.60001,9.7557316,,0.1806213,78.900002,13,0,0,0,0,0,0
201,1984,Georgia,126.3,9.82549,21.299999,0.17694411,86.800003,14,0,0,0,0,0,0
202,1985,Georgia,128.8,9.8621273,21.4,0.1732669,90.699997,15,0,0,0,0,0,0
203,1986,Georgia,129,9.9138088,22.1,0.1695897,100.1,16,0,0,0,0,0,0
204,1987,Georgia,129.3,9.9307976,22.299999,0.16591249,103.9,17,0,0,0,0,0,0
205,1988,Georgia,124.1,9.9528627,21.700001,0.1622353,109.2,18,0,0,0,0,0,0
206,1989,Georgia,117.1,9.9539089,21.5,0.1585581,122.4,19,0,0,1,0,0,0
207,1990,Georgia,113.8,9.9532976,22.299999,0.1548809,132.3,20,0,0,1,1,0,0
208,1991,Georgia,109.6,9.941865,21.200001,,138.2,21,0,0,1,2,0,0
209,1992,Georgia,109.2,9.9585648,21.6,,159.5,22,0,0,1,3,0,0
210,1993,Georgia,109.2,9.9678726,21.700001,,167.2,23,0,0,1,4,0,0
211,1994,Georgia,107.8,9.9982405,21.4,,147.8,24,0,0,1,5,0,0
212,1995,Georgia,100.3,10.05544,21.5,,153.8,25,0,0,1,6,0,0
213,1996,Georgia,102.7,10.07977,22,,156.10001,26,0,0,1,7,0,0
214,1997,Georgia,100.6,10.08141,21.6,,158.89999,27,0,0,1,8,0,0
215,1998,Georgia,100.5,,,,168.7,28,0,0,1,9,0,0
216,1999,Georgia,97.099998,,,,188,29,0,0,1,10,0,0
217,2000,Georgia,88.400002,,,,257.39999,30,0,0,1,11,0,0
218,1970,Idaho,102.4,,,0.1781206,33.799999,0,0,0,0,0,0,0
219,1971,Idaho,108.5,,,0.1760924,33.599998,1,0,0,0,0,0,0
220,1972,Idaho,126.1,9.6518393,,0.17406429,33.700001,2,0,0,0,0,0,0
221,1973,Idaho,121.8,9.7210512,,0.1720361,36.299999,3,0,0,0,0,0,0
222,1974,Idaho,125.6,9.7462626,,0.170008,38,4,0,0,0,0,0,0
223,1975,Idaho,123.3,9.6922007,,0.16797981,40.299999,5,0,0,0,0,0,0
224,1976,Idaho,125.1,9.731101,,0.16595159,42.5,6,0,0,0,0,0,0
225,1977,Idaho,125,9.7265072,,0.1639235,45.599998,7,0,0,0,0,0,0
226,1978,Idaho,122.8,9.7689333,,0.1618953,51.5,8,0,0,0,0,0,0
227,1979,Idaho,117.5,9.7373362,,0.1598672,55.400002,9,0,0,0,0,0,0
228,1980,Idaho,115.2,9.7114964,,0.157839,56.400002,10,0,0,0,0,0,0
229,1981,Idaho,114.1,9.6848984,,0.1563834,59.200001,11,0,0,0,0,0,0
230,1982,Idaho,111.5,9.645257,,0.15492781,67.599998,12,0,0,0,0,0,0
231,1983,Idaho,111.3,9.6945438,,0.1534723,76.5,13,0,0,0,0,0,0
232,1984,Idaho,103.6,9.7073164,23.200001,0.1520167,88.5,14,0,0,0,0,0,0
233,1985,Idaho,100.7,9.7152567,22.299999,0.1505612,97.599998,15,0,0,0,0,0,0
234,1986,Idaho,96.699997,9.7362137,22.5,0.14910559,99.900002,16,0,0,0,0,0,0
235,1987,Idaho,95,9.7407227,22,0.14765,107.1,17,0,0,0,0,0,0
236,1988,Idaho,84.5,9.7660036,21.1,0.1461945,121.9,18,0,0,0,0,0,0
237,1989,Idaho,78.400002,9.8279266,21.6,0.1447389,133.60001,19,0,0,1,0,0,0
238,1990,Idaho,90.099998,9.8399277,22.9,0.14328329,141.3,20,0,0,1,1,0,0
239,1991,Idaho,85.400002,9.8350945,22.200001,,144.39999,21,0,0,1,2,0,0
240,1992,Idaho,85.099998,9.8561497,22.6,,167.2,22,0,0,1,3,0,0
241,1993,Idaho,86.699997,9.8773632,21.799999,,171.2,23,0,0,1,4,0,0
242,1994,Idaho,93,9.903079,21.4,,150.5,24,0,0,1,5,0,0
243,1995,Idaho,78.199997,9.9196787,20.1,,163.5,25,0,0,1,6,0,0
244,1996,Idaho,73.599998,9.9336338,20.6,,176.5,26,0,0,1,7,0,0
245,1997,Idaho,75,9.9219522,20.1,,184.39999,27,0,0,1,8,0,0
246,1998,Idaho,78.900002,,,,187.10001,28,0,0,1,9,0,0
247,1999,Idaho,75.099998,,,,210.7,29,0,0,1,10,0,0
248,2000,Idaho,66.900002,,,,275.89999,30,0,0,1,11,0,0
249,1970,Illinois,124.8,,,0.16696671,41.400002,0,0,0,0,0,0,0
250,1971,Illinois,125.6,,,0.1689976,41.400002,1,0,0,0,0,0,0
251,1972,Illinois,126.6,9.9081612,,0.17102849,41.900002,2,0,0,0,0,0,0
252,1973,Illinois,124.4,9.9615955,,0.1730594,41,3,0,0,0,0,0,0
253,1974,Illinois,131.89999,9.9463148,,0.1750903,41.900002,4,0,0,0,0,0,0
254,1975,Illinois,131.8,9.9341898,,0.17712121,45.200001,5,0,0,0,0,0,0
255,1976,Illinois,134.39999,9.965498,,0.1791521,48.400002,6,0,0,0,0,0,0
256,1977,Illinois,134,9.9969492,,0.181183,49.400002,7,0,0,0,0,0,0
257,1978,Illinois,136.7,10.0236,,0.1832139,54.599998,8,0,0,0,0,0,0
258,1979,Illinois,135.3,10.01367,,0.1852448,56.799999,9,0,0,0,0,0,0
259,1980,Illinois,135.2,9.9621735,,0.1872758,60,10,0,0,0,0,0,0
260,1981,Illinois,133,9.9650173,,0.1830271,63.099998,11,0,0,0,0,0,0
261,1982,Illinois,130.7,9.9449787,,0.1787785,69.599998,12,0,0,0,0,0,0
262,1983,Illinois,127.9,9.9548035,,0.17452981,80.800003,13,0,0,0,0,0,0
263,1984,Illinois,124,10.00314,24.6,0.1702812,89.599998,14,0,0,0,0,0,0
264,1985,Illinois,121.6,10.02082,24.299999,0.16603249,96.699997,15,0,0,0,0,0,0
265,1986,Illinois,118.2,10.0553,24.700001,0.1617839,108.4,16,0,0,0,0,0,0
266,1987,Illinois,109.5,10.06775,25.1,0.1575353,116.2,17,0,0,0,0,0,0
267,1988,Illinois,107.6,10.08796,25,0.15328661,124.1,18,0,0,0,0,0,0
268,1989,Illinois,104.6,10.11391,24.4,0.149038,132.7,19,0,0,1,0,0,0
269,1990,Illinois,94.099998,10.11675,25.700001,0.14478929,147.3,20,0,0,1,1,0,0
270,1991,Illinois,96.099998,10.09824,24.4,,154,21,0,0,1,2,0,0
271,1992,Illinois,94.800003,10.12329,23.799999,,179.8,22,0,0,1,3,0,0
272,1993,Illinois,94.599998,10.12783,23.5,,187.5,23,0,0,1,4,0,0
273,1994,Illinois,85.699997,10.15419,23.6,,182.10001,24,0,0,1,5,0,0
274,1995,Illinois,84.300003,10.20035,23.200001,,185.2,25,0,0,1,6,0,0
275,1996,Illinois,81.800003,10.22424,22.9,,188.7,26,0,0,1,7,0,0
276,1997,Illinois,79.599998,10.23659,22.9,,198.7,27,0,0,1,8,0,0
277,1998,Illinois,80.300003,,,,202.3,28,0,0,1,9,0,0
278,1999,Illinois,72.199997,,,,240.5,29,0,0,1,10,0,0
279,2000,Illinois,70,,,,312.70001,30,0,0,1,11,0,0
280,1970,Indiana,134.60001,,,0.17651591,30.6,0,0,0,0,0,0,0
281,1971,Indiana,139.3,,,0.1779718,32.200001,1,0,0,0,0,0,0
282,1972,Indiana,149.2,9.7318726,,0.17942759,32.5,2,0,0,0,0,0,0
283,1973,Indiana,156,9.8068829,,0.1808835,32.900002,3,0,0,0,0,0,0
284,1974,Indiana,159.60001,9.7631845,,0.1823394,34.5,4,0,0,0,0,0,0
285,1975,Indiana,162.39999,9.7436609,,0.1837953,36.700001,5,0,0,0,0,0,0
286,1976,Indiana,166.60001,9.7987547,,0.18525121,38.700001,6,0,0,0,0,0,0
287,1977,Indiana,173,9.8333149,,0.186707,40.599998,7,0,0,0,0,0,0
288,1978,Indiana,150.89999,9.8652325,,0.18816289,50,8,0,0,0,0,0,0
289,1979,Indiana,148.89999,9.8514891,,0.1896188,52.5,9,0,0,0,0,0,0
290,1980,Indiana,146.89999,9.7957764,,0.1910747,53.700001,10,0,0,0,0,0,0
291,1981,Indiana,148.5,9.7881498,,0.1870784,58.299999,11,0,0,0,0,0,0
292,1982,Indiana,147.7,9.7577543,,0.18308219,65.099998,12,0,0,0,0,0,0
293,1983,Indiana,143,9.7750578,,0.1790859,75.699997,13,0,0,0,0,0,0
294,1984,Indiana,137.8,9.8294573,22,0.1750897,85.199997,14,0,0,0,0,0,0
295,1985,Indiana,135.3,9.8443022,22,0.1710934,88.800003,15,0,0,0,0,0,0
296,1986,Indiana,137.60001,9.8822317,22.1,0.16709711,93.599998,16,0,0,0,0,0,0
297,1987,Indiana,134,9.8970432,21.9,0.1631009,100.1,17,0,0,0,0,0,0
298,1988,Indiana,134,9.9150448,21.9,0.1591046,109.3,18,0,0,0,0,0,0
299,1989,Indiana,132.5,9.9365816,21.5,0.15510841,119,19,0,0,1,0,0,0
300,1990,Indiana,128.3,9.9351416,22.4,0.15111209,130.8,20,0,0,1,1,0,0
301,1991,Indiana,127.2,9.9210815,21.6,,135.8,21,0,0,1,2,0,0
302,1992,Indiana,128.2,9.9537973,20.700001,,153.5,22,0,0,1,3,0,0
303,1993,Indiana,126.8,9.9656334,20.5,,157.5,23,0,0,1,4,0,0
304,1994,Indiana,128.2,10.00135,20.6,,146.60001,24,0,0,1,5,0,0
305,1995,Indiana,135.39999,10.04371,20.1,,146.3,25,0,0,1,6,0,0
306,1996,Indiana,135.10001,10.06089,20.299999,,147.8,26,0,0,1,7,0,0
307,1997,Indiana,135.3,10.05211,20.299999,,156.3,27,0,0,1,8,0,0
308,1998,Indiana,135.89999,,,,166.8,28,0,0,1,9,0,0
309,1999,Indiana,133.3,,,,190,29,0,0,1,10,0,0
310,2000,Indiana,125.5,,,,260.20001,30,0,0,1,11,0,0
311,1970,Iowa,108.5,,,0.1688496,37.700001,0,0,0,0,0,0,0
312,1971,Iowa,108.4,,,0.170839,38.5,1,0,0,0,0,0,0
313,1972,Iowa,109.4,9.7302647,,0.1728285,41.900002,2,0,0,0,0,0,0
314,1973,Iowa,110.6,9.8583717,,0.1748179,41.900002,3,0,0,0,0,0,0
315,1974,Iowa,116.1,9.7882767,,0.1768073,43.200001,4,0,0,0,0,0,0
